fixture_id	Memory Purpose
T2-L-141	Procedural Policy
T2-L-142	Procedural Policy
T2-L-143	User Model
T2-L-046	Procedural Policy
T2-L-047	Procedural Policy
T2-L-053	Procedural Policy
T2-L-048	Procedural Policy
T2-L-049	Procedural Policy
T2-L-050	Procedural Policy
T2-L-067	Other Model
T2-L-144	Procedural Policy
T2-L-145	Procedural Policy
T2-L-146	User Model
T2-L-032	Procedural Policy
T2-L-040	Procedural Policy
T2-L-091	Procedural Policy
T2-L-092	Procedural Policy
T2-L-045	Procedural Policy
T2-L-068	Other Model
T2-L-093	Other Model
T2-L-094	Other Model
T2-L-147	Procedural Policy
T2-L-148	Procedural Policy
T2-L-149	Self Model
T2-L-150	World Model
T2-R-001	Procedural Policy
T2-R-070	Procedural Policy
T2-R-002	Procedural Policy
T2-R-011	Procedural Policy
T2-R-071	Procedural Policy
T2-R-015	Procedural Policy
T2-R-072	Procedural Policy
T2-R-017	Procedural Policy
T2-R-018	Procedural Policy
T2-R-083	Procedural Policy
T2-R-024	Procedural Policy
T2-R-054	Other Model
T2-R-080	Other Model
T2-R-003	Procedural Policy
T2-R-051	Procedural Policy
T2-R-013	Procedural Policy
T2-R-073	Procedural Policy
T2-R-026	Procedural Policy
T2-R-055	Other Model
T2-R-004	Procedural Policy
T2-R-005	Procedural Policy
T2-R-009	Procedural Policy
T2-R-010	Procedural Policy
T2-R-012	Procedural Policy
T2-R-027	Procedural Policy
T2-R-041	Procedural Policy
T2-R-056	Other Model
T2-R-019	Procedural Policy
T2-R-020	Procedural Policy
T2-R-052	Procedural Policy
T2-R-057	Other Model
T2-R-006	Procedural Policy
T2-R-021	Procedural Policy
T2-R-082	Procedural Policy
T2-R-042	Procedural Policy
T2-R-058	Other Model
T2-R-033	Knowledge Base
T2-R-081	Knowledge Base
T2-R-059	Other Model
T2-R-007	Procedural Policy
T2-R-014	Procedural Policy
T2-R-074	Procedural Policy
T2-R-016	Procedural Policy
T2-R-075	Procedural Policy
T2-R-022	Procedural Policy
T2-R-028	Procedural Policy
T2-R-076	Procedural Policy
T2-R-034	Other Model
T2-R-036	World Model
T2-R-084	World Model
T2-R-060	Other Model
T2-R-069	User Model
T2-R-043	Procedural Policy
T2-R-061	Other Model
T2-R-008	Procedural Policy
T2-R-029	Procedural Policy
T2-R-077	Procedural Policy
T2-R-030	Procedural Policy
T2-R-037	Procedural Policy
T2-R-078	Procedural Policy
T2-R-062	Other Model
T2-R-025	Procedural Policy
T2-R-063	Other Model
T2-R-038	Procedural Policy
T2-R-064	Other Model
T2-R-039	Procedural Policy
T2-R-085	Procedural Policy
T2-R-086	Procedural Policy
T2-R-044	Procedural Policy
T2-R-065	Other Model
T2-R-087	Other Model
T2-R-088	Other Model
T2-R-035	Other Model
T2-R-023	Procedural Policy
T2-R-031	Procedural Policy
T2-R-079	Procedural Policy
T2-R-066	Other Model
T2-R-046	Procedural Policy
T2-R-047	Procedural Policy
T2-R-053	Procedural Policy
T2-R-048	Procedural Policy
T2-R-049	Procedural Policy
T2-R-050	Procedural Policy
T2-R-067	Other Model
T2-R-032	Procedural Policy
T2-R-040	Procedural Policy
T2-R-089	Procedural Policy
T2-R-090	Procedural Policy
T2-R-045	Procedural Policy
T2-R-068	Other Model
T2-R-091	Other Model
T2-R-092	Other Model
T2-R-093	Procedural Policy
T2-R-094	Procedural Policy
T2-R-095	Knowledge Base
T2-R-096	Other Model
T2-R-097	Procedural Policy
T2-R-098	Procedural Policy
T2-R-099	User Model
T2-R-100	Procedural Policy
T2-R-101	Procedural Policy
T2-R-102	Knowledge Base
T2-R-103	World Model
T2-R-104	Procedural Policy
T2-R-105	Procedural Policy
T2-R-106	World Model
T2-R-107	Procedural Policy
T2-R-108	Knowledge Base
T2-R-109	User Model
T2-R-110	Procedural Policy
T2-R-111	Knowledge Base
T2-R-112	Other Model
T2-R-113	Procedural Policy
T2-R-114	Procedural Policy
T2-R-115	Procedural Policy
T2-R-116	Procedural Policy
T2-R-117	Knowledge Base
T2-R-118	User Model
T2-R-119	World Model
T2-R-120	Procedural Policy
T2-R-121	Procedural Policy
T2-R-122	Procedural Policy
T2-R-123	Knowledge Base
T2-R-124	World Model
T2-R-125	Procedural Policy
T2-R-126	Procedural Policy
T2-R-127	Self Model
T2-R-128	User Model
T2-R-129	Procedural Policy
T2-R-130	Knowledge Base
T2-R-131	User Model
T2-R-132	Procedural Policy
T2-R-133	Procedural Policy
T2-R-134	Self Model
T2-R-135	World Model
T2-R-136	Procedural Policy
T2-R-137	Procedural Policy
T2-R-138	Self Model
T2-R-139	World Model
T2-R-140	Procedural Policy
T2-R-141	Knowledge Base
T2-R-142	Procedural Policy
T2-R-143	Procedural Policy
T2-R-144	User Model
T2-R-145	Procedural Policy
T2-R-146	Procedural Policy
T2-R-147	User Model
T2-R-148	Procedural Policy
T2-R-149	Procedural Policy
T2-R-150	Self Model
T2-Q-001	Procedural Policy
T2-Q-065	Procedural Policy
T2-Q-002	Procedural Policy
T2-Q-004	Procedural Policy
T2-Q-005	Other Model
T2-Q-075	World Model
T2-Q-006	Procedural Policy
T2-Q-007	Knowledge Base
T2-Q-072	Knowledge Base
T2-Q-008	Procedural Policy
T2-Q-009	Procedural Policy
T2-Q-010	Procedural Policy
T2-Q-011	Procedural Policy
T2-Q-012	Other Model
T2-Q-013	Procedural Policy
T2-Q-014	Procedural Policy
T2-Q-015	Procedural Policy
T2-Q-016	Procedural Policy
T2-Q-017	Procedural Policy
T2-Q-018	Other Model
T2-Q-019	Procedural Policy
T2-Q-020	Procedural Policy
T2-Q-021	Procedural Policy
T2-Q-022	Procedural Policy
T2-Q-023	Procedural Policy
T2-Q-024	Other Model
T2-Q-003	Procedural Policy
T2-Q-025	Procedural Policy
T2-Q-026	User Model
T2-Q-073	User Model
T2-Q-027	Procedural Policy
T2-Q-028	Other Model
T2-Q-029	Procedural Policy
T2-Q-030	Procedural Policy
T2-Q-031	Procedural Policy
T2-Q-033	Procedural Policy
T2-Q-034	Procedural Policy
T2-Q-035	Procedural Policy
T2-Q-036	Procedural Policy
T2-Q-037	Other Model
T2-Q-038	Procedural Policy
T2-Q-039	Procedural Policy
T2-Q-040	Other Model
T2-Q-041	Procedural Policy
T2-Q-032	Procedural Policy
T2-Q-042	Procedural Policy
T2-Q-066	Procedural Policy
T2-Q-067	Procedural Policy
T2-Q-043	Procedural Policy
T2-Q-044	Procedural Policy
T2-Q-045	Procedural Policy
T2-Q-068	Procedural Policy
T2-Q-069	Procedural Policy
T2-Q-070	Procedural Policy
T2-Q-071	Procedural Policy
T2-Q-046	Procedural Policy
T2-Q-047	Procedural Policy
T2-Q-048	Other Model
T2-Q-049	Procedural Policy
T2-Q-050	Procedural Policy
T2-Q-051	World Model
T2-Q-052	Procedural Policy
T2-Q-053	Procedural Policy
T2-Q-054	Procedural Policy
T2-Q-055	Procedural Policy
T2-Q-056	Procedural Policy
T2-Q-057	Procedural Policy
T2-Q-058	Procedural Policy
T2-Q-059	Procedural Policy
T2-Q-060	Procedural Policy
T2-Q-061	Other Model
T2-Q-062	Procedural Policy
T2-Q-063	Self Model
T2-Q-074	Self Model
T2-Q-064	Other Model
