memory_location	목적
local/personal-memory/2024-09/01	UM
local/personal-memory/2024-09/02	UM
local/personal-memory/2024-09/03	UM
local/personal-memory/2024-09/04	UM
local/personal-memory/2024-09/05	UM
local/personal-memory/2024-09/06	UM
local/personal-memory/2024-09/07	UM
local/personal-memory/2024-09/08	OM
local/personal-memory/2024-09/09	SM
local/personal-memory/2024-09/10	WM
local/personal-memory/2024-10/01	KB
local/personal-memory/2024-10/02	UM
local/personal-memory/2024-10/03	UM
local/personal-memory/2024-10/04	UM
local/personal-memory/2024-10/05	UM
local/personal-memory/2024-10/06	UM
local/personal-memory/2024-10/07	UM
local/personal-memory/2024-10/08	OM
local/personal-memory/2024-10/09	PP
local/personal-memory/2024-10/10	SM
local/personal-memory/2024-11/01	KB
local/personal-memory/2024-11/02	UM
local/personal-memory/2024-11/03	UM
local/personal-memory/2024-11/04	UM
local/personal-memory/2024-11/05	UM
local/personal-memory/2024-11/06	UM
local/personal-memory/2024-11/07	UM
local/personal-memory/2024-11/08	OM
local/personal-memory/2024-11/09	PP
local/personal-memory/2024-11/10	WM
local/personal-memory/2024-12/01	KB
local/personal-memory/2024-12/02	UM
local/personal-memory/2024-12/03	UM
local/personal-memory/2024-12/04	UM
local/personal-memory/2024-12/05	UM
local/personal-memory/2024-12/06	UM
local/personal-memory/2024-12/07	UM
local/personal-memory/2024-12/08	OM
local/personal-memory/2024-12/09	SM
local/personal-memory/2024-12/10	WM
local/personal-memory/2025-01/01	KB
local/personal-memory/2025-01/02	UM
local/personal-memory/2025-01/03	UM
local/personal-memory/2025-01/04	UM
local/personal-memory/2025-01/05	UM
local/personal-memory/2025-01/06	UM
local/personal-memory/2025-01/07	UM
local/personal-memory/2025-01/08	OM
local/personal-memory/2025-01/09	PP
local/personal-memory/2025-01/10	SM
local/personal-memory/2025-02/01	KB
local/personal-memory/2025-02/02	UM
local/personal-memory/2025-02/03	UM
local/personal-memory/2025-02/04	UM
local/personal-memory/2025-02/05	UM
local/personal-memory/2025-02/06	UM
local/personal-memory/2025-02/07	UM
local/personal-memory/2025-02/08	OM
local/personal-memory/2025-02/09	PP
local/personal-memory/2025-02/10	UM
local/personal-memory/2025-03/01	KB
local/personal-memory/2025-03/02	UM
local/personal-memory/2025-03/03	UM
local/personal-memory/2025-03/04	UM
local/personal-memory/2025-03/05	UM
local/personal-memory/2025-03/06	UM
local/personal-memory/2025-03/07	UM
local/personal-memory/2025-03/08	OM
local/personal-memory/2025-03/09	SM
local/personal-memory/2025-03/10	KB
local/personal-memory/2025-04/01	KB
local/personal-memory/2025-04/02	UM
local/personal-memory/2025-04/03	UM
local/personal-memory/2025-04/04	UM
local/personal-memory/2025-04/05	UM
local/personal-memory/2025-04/06	UM
local/personal-memory/2025-04/07	UM
local/personal-memory/2025-04/08	OM
local/personal-memory/2025-04/09	PP
local/personal-memory/2025-04/10	SM
local/personal-memory/2025-05/01	KB
local/personal-memory/2025-05/02	UM
local/personal-memory/2025-05/03	UM
local/personal-memory/2025-05/04	UM
local/personal-memory/2025-05/05	UM
local/personal-memory/2025-05/06	UM
local/personal-memory/2025-05/07	UM
local/personal-memory/2025-05/08	OM
local/personal-memory/2025-05/09	PP
local/personal-memory/2025-05/10	WM
local/personal-memory/2025-06/01	KB
local/personal-memory/2025-06/02	UM
local/personal-memory/2025-06/03	UM
local/personal-memory/2025-06/04	UM
local/personal-memory/2025-06/05	UM
local/personal-memory/2025-06/06	UM
local/personal-memory/2025-06/07	UM
local/personal-memory/2025-06/08	OM
local/personal-memory/2025-06/09	SM
local/personal-memory/2025-06/10	WM
local/personal-memory/2025-07/01	KB
local/personal-memory/2025-07/02	UM
local/personal-memory/2025-07/03	UM
local/personal-memory/2025-07/04	UM
local/personal-memory/2025-07/05	UM
local/personal-memory/2025-07/06	UM
local/personal-memory/2025-07/07	UM
local/personal-memory/2025-07/08	OM
local/personal-memory/2025-07/09	PP
local/personal-memory/2025-07/10	SM
local/personal-memory/2025-08/01	KB
local/personal-memory/2025-08/02	UM
local/personal-memory/2025-08/03	UM
local/personal-memory/2025-08/04	UM
local/personal-memory/2025-08/05	UM
local/personal-memory/2025-08/06	UM
local/personal-memory/2025-08/07	UM
local/personal-memory/2025-08/08	OM
local/personal-memory/2025-08/09	PP
local/personal-memory/2025-08/10	WM
local/personal-memory/2025-09/01	KB
local/personal-memory/2025-09/02	UM
local/personal-memory/2025-09/03	UM
local/personal-memory/2025-09/04	UM
local/personal-memory/2025-09/05	UM
local/personal-memory/2025-09/06	UM
local/personal-memory/2025-09/07	UM
local/personal-memory/2025-09/08	OM
local/personal-memory/2025-09/09	SM
local/personal-memory/2025-09/10	UM
local/personal-memory/2025-10/01	KB
local/personal-memory/2025-10/02	UM
local/personal-memory/2025-10/03	UM
local/personal-memory/2025-10/04	UM
local/personal-memory/2025-10/05	UM
local/personal-memory/2025-10/06	UM
local/personal-memory/2025-10/07	UM
local/personal-memory/2025-10/08	OM
local/personal-memory/2025-10/09	PP
local/personal-memory/2025-10/10	SM
local/personal-memory/2025-11/01	KB
local/personal-memory/2025-11/02	UM
local/personal-memory/2025-11/03	UM
local/personal-memory/2025-11/04	UM
local/personal-memory/2025-11/05	UM
local/personal-memory/2025-11/06	UM
local/personal-memory/2025-11/07	UM
local/personal-memory/2025-11/08	OM
local/personal-memory/2025-11/09	PP
local/personal-memory/2025-11/10	WM
local/personal-memory/2025-12/01	KB
local/personal-memory/2025-12/02	UM
local/personal-memory/2025-12/03	UM
local/personal-memory/2025-12/04	UM
local/personal-memory/2025-12/05	UM
local/personal-memory/2025-12/06	UM
local/personal-memory/2025-12/07	UM
local/personal-memory/2025-12/08	OM
local/personal-memory/2025-12/09	SM
local/personal-memory/2025-12/10	WM
local/personal-memory/2026-01/01	KB
local/personal-memory/2026-01/02	UM
local/personal-memory/2026-01/03	UM
local/personal-memory/2026-01/04	UM
local/personal-memory/2026-01/05	UM
local/personal-memory/2026-01/06	UM
local/personal-memory/2026-01/07	UM
local/personal-memory/2026-01/08	OM
local/personal-memory/2026-01/09	PP
local/personal-memory/2026-01/10	SM
local/personal-memory/2026-02/01	KB
local/personal-memory/2026-02/02	UM
local/personal-memory/2026-02/03	UM
local/personal-memory/2026-02/04	UM
local/personal-memory/2026-02/05	UM
local/personal-memory/2026-02/06	UM
local/personal-memory/2026-02/07	UM
local/personal-memory/2026-02/08	OM
local/personal-memory/2026-02/09	PP
local/personal-memory/2026-02/10	WM
local/personal-memory/2026-03/01	KB
local/personal-memory/2026-03/02	UM
local/personal-memory/2026-03/03	UM
local/personal-memory/2026-03/04	UM
local/personal-memory/2026-03/05	UM
local/personal-memory/2026-03/06	UM
local/personal-memory/2026-03/07	UM
local/personal-memory/2026-03/08	OM
local/personal-memory/2026-03/09	SM
local/personal-memory/2026-03/10	WM
local/personal-memory/2026-04/01	KB
local/personal-memory/2026-04/02	UM
local/personal-memory/2026-04/03	UM
local/personal-memory/2026-04/04	UM
local/personal-memory/2026-04/05	UM
local/personal-memory/2026-04/06	UM
local/personal-memory/2026-04/07	UM
local/personal-memory/2026-04/08	OM
local/personal-memory/2026-04/09	PP
local/personal-memory/2026-04/10	SM
local/personal-memory/2026-05/01	KB
local/personal-memory/2026-05/02	UM
local/personal-memory/2026-05/03	UM
local/personal-memory/2026-05/04	UM
local/personal-memory/2026-05/05	UM
local/personal-memory/2026-05/06	UM
local/personal-memory/2026-05/07	UM
local/personal-memory/2026-05/08	OM
local/personal-memory/2026-05/09	PP
local/personal-memory/2026-05/10	WM
local/personal-memory/2026-06/01	KB
local/personal-memory/2026-06/02	UM
local/personal-memory/2026-06/03	UM
local/personal-memory/2026-06/04	UM
local/personal-memory/2026-06/05	UM
local/personal-memory/2026-06/06	UM
local/personal-memory/2026-06/07	UM
local/personal-memory/2026-06/08	OM
local/personal-memory/2026-06/09	SM
local/personal-memory/2026-06/10	WM
local/guardrails/purpose-and-scope/01	PP
local/guardrails/purpose-and-scope/02	PP
local/guardrails/purpose-and-scope/03	PP
local/guardrails/purpose-and-scope/04	PP
local/guardrails/purpose-and-scope/05	KB
local/guardrails/purpose-and-scope/05-purpose	KB
local/guardrails/purpose-and-scope/05-items	KB
local/guardrails/purpose-and-scope/06	OM
local/guardrails/privacy-and-others/01	PP
local/guardrails/privacy-and-others/02	PP
local/guardrails/privacy-and-others/03	PP
local/guardrails/privacy-and-others/04	PP
local/guardrails/privacy-and-others/05	WM
local/guardrails/privacy-and-others/06	OM
local/guardrails/evidence-and-uncertainty/01	PP
local/guardrails/evidence-and-uncertainty/02	PP
local/guardrails/evidence-and-uncertainty/03	PP
local/guardrails/evidence-and-uncertainty/04	PP
local/guardrails/evidence-and-uncertainty/05	WM
local/guardrails/evidence-and-uncertainty/06	OM
local/guardrails/approval-and-delivery/01	PP
local/guardrails/approval-and-delivery/02	PP
local/guardrails/approval-and-delivery/03	PP
local/guardrails/approval-and-delivery/04	PP
local/guardrails/approval-and-delivery/04-purpose	PP
local/guardrails/approval-and-delivery/04-items	PP
local/guardrails/approval-and-delivery/05	SM
local/guardrails/approval-and-delivery/06	OM
local/guardrails/approval-and-delivery/06-forwarding	OM
local/guardrails/retention-and-revocation/01	PP
local/guardrails/retention-and-revocation/02	PP
local/guardrails/retention-and-revocation/03	PP
local/guardrails/retention-and-revocation/04	PP
local/guardrails/retention-and-revocation/05	KB
local/guardrails/retention-and-revocation/06	OM
local/guardrails/recipient-and-authority/01	PP
local/guardrails/recipient-and-authority/02	PP
local/guardrails/recipient-and-authority/03	PP
local/guardrails/recipient-and-authority/04	PP
local/guardrails/recipient-and-authority/05	PP
local/guardrails/recipient-and-authority/06	KB
local/guardrails/recipient-and-authority/07	SM
local/guardrails/recipient-and-authority/08	OM
local/guardrails/minimization-and-redaction/01	PP
local/guardrails/minimization-and-redaction/02	PP
local/guardrails/minimization-and-redaction/03	PP
local/guardrails/minimization-and-redaction/04	PP
local/guardrails/minimization-and-redaction/05	PP
local/guardrails/minimization-and-redaction/06	KB
local/guardrails/minimization-and-redaction/07	OM
local/guardrails/minimization-and-redaction/08	WM
local/guardrails/channel-and-format/01	PP
local/guardrails/channel-and-format/02	PP
local/guardrails/channel-and-format/03	PP
local/guardrails/channel-and-format/04	PP
local/guardrails/channel-and-format/05	PP
local/guardrails/channel-and-format/06	KB
local/guardrails/channel-and-format/07	SM
local/guardrails/channel-and-format/08	OM
local/guardrails/downstream-use/01	PP
local/guardrails/downstream-use/02	PP
local/guardrails/downstream-use/03	PP
local/guardrails/downstream-use/04	PP
local/guardrails/downstream-use/05	PP
local/guardrails/downstream-use/06	KB
local/guardrails/downstream-use/07	WM
local/guardrails/downstream-use/08	OM
local/guardrails/audit-and-recovery/01	PP
local/guardrails/audit-and-recovery/02	PP
local/guardrails/audit-and-recovery/03	PP
local/guardrails/audit-and-recovery/04	PP
local/guardrails/audit-and-recovery/05	PP
local/guardrails/audit-and-recovery/06	SM
local/guardrails/audit-and-recovery/07	WM
local/guardrails/audit-and-recovery/08	OM
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/01	SM
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/02	PP
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/03	PP
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/04	PP
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/05	SM
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/06	SM
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/07	OM
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/08	OM
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/09	WM
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/10	PP
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/11	PP
remote/government/healthcare-agent/info-request/questions-and-answers/request-manifest/12	OM
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/01	PP
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/02	PP
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/03	PP
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/04	PP
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/05	PP
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/06	KB
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/07	SM
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/08	OM
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/09	WM
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/10	PP
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/11	PP
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/12	PP
remote/government/healthcare-agent/info-request/questions-and-answers/care-access/13	OM
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/01	PP
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/02	PP
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/03	PP
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/04	PP
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/05	PP
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/06	PP
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/07	KB
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/08	SM
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/09	OM
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/10	WM
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/11	PP
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/12	PP
remote/government/healthcare-agent/info-request/questions-and-answers/scheduling-and-continuity/13	OM
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/01	PP
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/02	PP
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/03	PP
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/04	PP
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/05	PP
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/06	KB
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/07	SM
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/08	OM
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/09	OM
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/10	WM
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/11	PP
remote/government/healthcare-agent/info-request/questions-and-answers/hospital-stays/12	PP
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/01	PP
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/02	PP
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/03	PP
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/04	PP
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/05	PP
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/06	PP
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/07	KB
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/08	SM
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/09	OM
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/10	OM
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/11	WM
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/12	PP
remote/government/healthcare-agent/info-request/questions-and-answers/communication-and-explanations/13	PP
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/01	PP
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/02	PP
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/03	PP
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/04	PP
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/05	PP
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/06	OM
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/07	KB
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/08	SM
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/09	OM
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/10	WM
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/11	WM
remote/government/healthcare-agent/info-request/questions-and-answers/memory-use-and-boundaries/12	PP
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/01	KB
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/02	SM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/03	SM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/04	PP
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/05	PP
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/06	PP
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/07	PP
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/08	PP
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/09	WM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/10	UM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/11	UM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/12	PP
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/13	KB
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/14	PP
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/15	PP
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/16	SM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/17	KB
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/18	KB
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/19	OM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/20	OM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/21	WM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/22	OM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/23	OM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/24	OM
remote/government/healthcare-agent/info-request/transmission-guidance/public-guidance/25	OM
