memory_location	purpose
personal-memory/2025-08/03	UM
personal-memory/2025-08/04	UM
personal-memory/2025-08/05	UM
personal-memory/2025-08/06	UM
personal-memory/2025-08/07	UM
personal-memory/2025-08/08	OM
personal-memory/2025-08/09	PP
personal-memory/2025-08/10	WM
personal-memory/2025-09/01	KB
personal-memory/2025-09/02	UM
personal-memory/2025-09/03	UM
personal-memory/2025-09/04	UM
personal-memory/2025-09/05	UM
personal-memory/2025-09/06	UM
personal-memory/2025-09/07	UM
personal-memory/2025-09/08	OM
personal-memory/2025-09/09	SM
personal-memory/2025-09/10	UM
personal-memory/2025-10/01	KB
personal-memory/2025-10/02	UM
personal-memory/2025-10/03	UM
personal-memory/2025-10/04	UM
personal-memory/2025-10/05	UM
personal-memory/2025-10/06	UM
personal-memory/2025-10/07	UM
personal-memory/2025-10/08	OM
personal-memory/2025-10/09	PP
personal-memory/2025-10/10	SM
personal-memory/2025-11/01	KB
personal-memory/2025-11/02	UM
personal-memory/2025-11/03	UM
personal-memory/2025-11/04	UM
personal-memory/2025-11/05	UM
personal-memory/2025-11/06	UM
personal-memory/2025-11/07	UM
personal-memory/2025-11/08	OM
personal-memory/2025-11/09	PP
personal-memory/2025-11/10	WM
personal-memory/2025-12/01	KB
personal-memory/2025-12/02	UM
personal-memory/2025-12/03	UM
personal-memory/2025-12/04	UM
personal-memory/2025-12/05	UM
personal-memory/2025-12/06	UM
personal-memory/2025-12/07	UM
personal-memory/2025-12/08	OM
personal-memory/2025-12/09	SM
personal-memory/2025-12/10	WM
personal-memory/2026-01/01	KB
personal-memory/2026-01/02	UM
personal-memory/2026-01/03	UM
personal-memory/2026-01/04	UM
personal-memory/2026-01/05	UM
personal-memory/2026-01/06	UM
personal-memory/2026-01/07	UM
personal-memory/2026-01/08	OM
personal-memory/2026-01/09	PP
personal-memory/2026-01/10	SM
personal-memory/2026-02/01	KB
personal-memory/2026-02/02	UM
personal-memory/2026-02/03	UM
personal-memory/2026-02/04	UM
personal-memory/2026-02/05	UM
personal-memory/2026-02/06	UM
personal-memory/2026-02/07	UM
personal-memory/2026-02/08	OM
personal-memory/2026-02/09	PP
personal-memory/2026-02/10	WM
personal-memory/2026-03/01	KB
personal-memory/2026-03/02	UM
personal-memory/2026-03/03	UM
personal-memory/2026-03/04	UM
personal-memory/2026-03/05	UM
personal-memory/2026-03/06	UM
personal-memory/2026-03/07	UM
personal-memory/2026-03/08	OM
personal-memory/2026-03/09	SM
personal-memory/2026-03/10	WM
personal-memory/2026-04/01	KB
personal-memory/2026-04/02	UM
personal-memory/2026-04/03	UM
personal-memory/2026-04/04	UM
personal-memory/2026-04/05	UM
personal-memory/2026-04/06	UM
personal-memory/2026-04/07	UM
personal-memory/2026-04/08	OM
personal-memory/2026-04/09	PP
personal-memory/2026-04/10	SM
personal-memory/2026-05/01	KB
personal-memory/2026-05/02	UM
personal-memory/2026-05/03	UM
personal-memory/2026-05/04	UM
personal-memory/2026-05/05	UM
personal-memory/2026-05/06	UM
personal-memory/2026-05/07	UM
personal-memory/2026-05/08	OM
personal-memory/2026-05/09	PP
personal-memory/2026-05/10	WM
personal-memory/2026-06/01	KB
personal-memory/2026-06/02	UM
personal-memory/2026-06/03	UM
personal-memory/2026-06/04	UM
personal-memory/2026-06/05	UM
personal-memory/2026-06/06	UM
personal-memory/2026-06/07	UM
personal-memory/2026-06/08	OM
personal-memory/2026-06/09	SM
personal-memory/2026-06/10	WM
guardrails/purpose-and-scope/01	PP
guardrails/purpose-and-scope/02	PP
guardrails/purpose-and-scope/03	PP
guardrails/purpose-and-scope/04	PP
guardrails/purpose-and-scope/05	KB
guardrails/purpose-and-scope/05-purpose	KB
guardrails/purpose-and-scope/05-items	KB
guardrails/purpose-and-scope/06	OM
guardrails/privacy-and-others/01	PP
guardrails/privacy-and-others/02	PP
guardrails/privacy-and-others/03	PP
guardrails/privacy-and-others/04	PP
guardrails/privacy-and-others/05	WM
guardrails/privacy-and-others/06	OM
guardrails/evidence-and-uncertainty/01	PP
guardrails/evidence-and-uncertainty/02	PP
guardrails/evidence-and-uncertainty/03	PP
guardrails/evidence-and-uncertainty/04	PP
guardrails/evidence-and-uncertainty/05	WM
guardrails/evidence-and-uncertainty/06	OM
guardrails/approval-and-delivery/01	PP
guardrails/approval-and-delivery/02	PP
guardrails/approval-and-delivery/03	PP
guardrails/approval-and-delivery/04	PP
guardrails/approval-and-delivery/04-purpose	PP
guardrails/approval-and-delivery/04-items	PP
guardrails/approval-and-delivery/05	SM
guardrails/approval-and-delivery/06	OM
guardrails/approval-and-delivery/06-forwarding	OM
guardrails/retention-and-revocation/01	PP
guardrails/retention-and-revocation/02	PP
guardrails/retention-and-revocation/03	PP
guardrails/retention-and-revocation/04	PP
guardrails/retention-and-revocation/05	KB
guardrails/retention-and-revocation/06	OM
guardrails/recipient-and-authority/01	PP
guardrails/recipient-and-authority/02	PP
guardrails/recipient-and-authority/03	PP
guardrails/recipient-and-authority/04	PP
guardrails/recipient-and-authority/05	PP
guardrails/recipient-and-authority/06	KB
guardrails/recipient-and-authority/07	SM
guardrails/recipient-and-authority/08	OM
guardrails/minimization-and-redaction/01	PP
guardrails/minimization-and-redaction/02	PP
guardrails/minimization-and-redaction/03	PP
guardrails/minimization-and-redaction/04	PP
guardrails/minimization-and-redaction/05	PP
guardrails/minimization-and-redaction/06	KB
guardrails/minimization-and-redaction/07	OM
guardrails/minimization-and-redaction/08	WM
guardrails/channel-and-format/01	PP
guardrails/channel-and-format/02	PP
guardrails/channel-and-format/03	PP
guardrails/channel-and-format/04	PP
guardrails/channel-and-format/05	PP
guardrails/channel-and-format/06	KB
guardrails/channel-and-format/07	SM
guardrails/channel-and-format/08	OM
guardrails/downstream-use/01	PP
guardrails/downstream-use/02	PP
guardrails/downstream-use/03	PP
guardrails/downstream-use/04	PP
guardrails/downstream-use/05	PP
guardrails/downstream-use/06	KB
guardrails/downstream-use/07	WM
guardrails/downstream-use/08	OM
guardrails/audit-and-recovery/01	PP
guardrails/audit-and-recovery/02	PP
guardrails/audit-and-recovery/03	PP
guardrails/audit-and-recovery/04	PP
guardrails/audit-and-recovery/05	PP
guardrails/audit-and-recovery/06	SM
guardrails/audit-and-recovery/07	WM
guardrails/audit-and-recovery/08	OM
government/healthcare-agent/information-request/request-manifest/01	SM
government/healthcare-agent/information-request/request-manifest/02	PP
government/healthcare-agent/information-request/request-manifest/03	PP
government/healthcare-agent/information-request/request-manifest/04	PP
government/healthcare-agent/information-request/request-manifest/05	SM
government/healthcare-agent/information-request/request-manifest/06	SM
government/healthcare-agent/information-request/request-manifest/07	OM
government/healthcare-agent/information-request/request-manifest/08	OM
government/healthcare-agent/information-request/request-manifest/09	WM
government/healthcare-agent/information-request/request-manifest/10	PP
government/healthcare-agent/information-request/request-manifest/11	PP
government/healthcare-agent/information-request/request-manifest/12	OM
government/healthcare-agent/information-request/care-access/01	PP
government/healthcare-agent/information-request/care-access/02	PP
government/healthcare-agent/information-request/care-access/03	PP
government/healthcare-agent/information-request/care-access/04	PP
government/healthcare-agent/information-request/care-access/05	PP
government/healthcare-agent/information-request/care-access/06	KB
government/healthcare-agent/information-request/care-access/07	SM
government/healthcare-agent/information-request/care-access/08	OM
government/healthcare-agent/information-request/care-access/09	WM
government/healthcare-agent/information-request/care-access/10	PP
government/healthcare-agent/information-request/care-access/11	PP
government/healthcare-agent/information-request/care-access/12	PP
government/healthcare-agent/information-request/care-access/13	OM
government/healthcare-agent/information-request/scheduling-and-continuity/01	PP
government/healthcare-agent/information-request/scheduling-and-continuity/02	PP
government/healthcare-agent/information-request/scheduling-and-continuity/03	PP
government/healthcare-agent/information-request/scheduling-and-continuity/04	PP
government/healthcare-agent/information-request/scheduling-and-continuity/05	PP
government/healthcare-agent/information-request/scheduling-and-continuity/06	PP
government/healthcare-agent/information-request/scheduling-and-continuity/07	KB
government/healthcare-agent/information-request/scheduling-and-continuity/08	SM
government/healthcare-agent/information-request/scheduling-and-continuity/09	OM
government/healthcare-agent/information-request/scheduling-and-continuity/10	WM
government/healthcare-agent/information-request/scheduling-and-continuity/11	PP
government/healthcare-agent/information-request/scheduling-and-continuity/12	PP
government/healthcare-agent/information-request/scheduling-and-continuity/13	OM
government/healthcare-agent/information-request/hospital-stays/01	PP
government/healthcare-agent/information-request/hospital-stays/02	PP
government/healthcare-agent/information-request/hospital-stays/03	PP
government/healthcare-agent/information-request/hospital-stays/04	PP
government/healthcare-agent/information-request/hospital-stays/05	PP
government/healthcare-agent/information-request/hospital-stays/06	KB
government/healthcare-agent/information-request/hospital-stays/07	SM
government/healthcare-agent/information-request/hospital-stays/08	OM
government/healthcare-agent/information-request/hospital-stays/09	OM
government/healthcare-agent/information-request/hospital-stays/10	WM
government/healthcare-agent/information-request/hospital-stays/11	PP
government/healthcare-agent/information-request/hospital-stays/12	PP
government/healthcare-agent/information-request/communication-and-explanations/01	PP
government/healthcare-agent/information-request/communication-and-explanations/02	PP
government/healthcare-agent/information-request/communication-and-explanations/03	PP
government/healthcare-agent/information-request/communication-and-explanations/04	PP
government/healthcare-agent/information-request/communication-and-explanations/05	PP
government/healthcare-agent/information-request/communication-and-explanations/06	PP
government/healthcare-agent/information-request/communication-and-explanations/07	KB
government/healthcare-agent/information-request/communication-and-explanations/08	SM
government/healthcare-agent/information-request/communication-and-explanations/09	OM
government/healthcare-agent/information-request/communication-and-explanations/10	OM
government/healthcare-agent/information-request/communication-and-explanations/11	WM
government/healthcare-agent/information-request/communication-and-explanations/12	PP
government/healthcare-agent/information-request/communication-and-explanations/13	PP
government/healthcare-agent/information-request/memory-use-and-boundaries/01	PP
government/healthcare-agent/information-request/memory-use-and-boundaries/02	PP
government/healthcare-agent/information-request/memory-use-and-boundaries/03	PP
government/healthcare-agent/information-request/memory-use-and-boundaries/04	PP
government/healthcare-agent/information-request/memory-use-and-boundaries/05	PP
government/healthcare-agent/information-request/memory-use-and-boundaries/06	OM
government/healthcare-agent/information-request/memory-use-and-boundaries/07	KB
government/healthcare-agent/information-request/memory-use-and-boundaries/08	SM
government/healthcare-agent/information-request/memory-use-and-boundaries/09	OM
government/healthcare-agent/information-request/memory-use-and-boundaries/10	WM
government/healthcare-agent/information-request/memory-use-and-boundaries/11	WM
government/healthcare-agent/information-request/memory-use-and-boundaries/12	PP
